1,-3,1
1,-4,1
1,-5,1
2,-4,1
1,-6,1
1,-3,1
1,-7,1
1,-8,1
5,-10,2
1,-9,1
3,-6,1
1,-10,1
3,-12,4
3,-5,1
1,-11,1
1,-12,1
7,-14,2
1,-13,1
5,-15,3
1,-4,1
4,-8,1
1,-14,1
11,-18,3
1,-15,1
7,-19,5
2,-6,1
1,-16,1
9,-18,2
1,-17,1
13,-21,3
1,-3,1
4,-6,1
5,-10,1
1,-18,1
5,-20,4
1,-19,1
7,-21,3
5,-8,1
1,-20,1
5,-24,9
11,-22,2
9,-24,5
1,-21,1
6,-12,1
3,-12,2
1,-22,1
19,-28,4
8,-24,3
7,-26,7
1,-5,1
1,-23,1
17,-27,3
1,-24,1
13,-26,2
3,-9,1
1,-25,1
11,-29,5
5,-29,11
7,-14,1
11,-16,2
1,-26,1
4,-28,7
19,-30,3
11,-32,8
5,-7,1
1,-27,1
13,-33,7
1,-28,1
15,-30,2
10,-30,3
6,-30,5
7,-11,1
1,-29,1
9,-33,7
7,-33,9
2,-8,1
8,-16,1
5,-18,5
1,-30,1
13,-34,5
25,-36,4
5,-34,13
1,-31,1
11,-33,3
1,-32,1
17,-34,2
23,-36,3
29,-40,5
1,-33,1
7,-35,5
2,-4,1
1,-6,1
7,-10,1
4,-12,1
9,-18,1
4,-20,7
1,-34,1
7,-40,16
4,-36,9
16,-40,7
1,-35,1
15,-39,5
25,-39,3
5,-39,15
1,-36,1
11,-40,7
19,-38,2
7,-40,11
1,-37,1
13,-39,3
33,-45,5
11,-43,11
6,-8,1
3,-8,2
9,-14,1
3,-14,3
10,-20,1
2,-20,5
1,-38,1
31,-44,4
27,-48,8
5,-40,8
1,-39,1
17,-49,13
1,-40,1
5,-44,17
14,-42,3
17,-44,5
6,-42,7
10,-46,13
21,-42,2
13,-46,10
1,-41,1
19,-47,7
29,-45,3
7,-47,19
11,-22,1
17,-24,2
1,-42,1
4,-44,11
37,-50,5
17,-48,8
5,-15,1
7,-17,3
1,-43,1
7,-47,13
5,-45,9
13,-47,7
1,-44,1
23,-46,2
31,-48,3
41,-54,6
1,-45,1
19,-49,5
5,-49,19
4,-7,1
3,-12,1
12,-24,1
3,-24,4
1,-46,1
37,-52,4
3,-48,16
31,-60,12
1,-3,1
1,-7,1
11,-17,1
1,-47,1
11,-51,9
41,-55,5
9,-51,11
2,-10,1
1,-48,1
7,-54,22
11,-54,14
25,-50,2
14,-54,11
22,-54,7
1,-49,1
17,-51,3
10,-14,1
5,-14,2
13,-26,1
5,-28,8
23,-30,3
8,-28,5
1,-50,1
15,-54,7
12,-60,23
7,-54,15
4,-52,13
21,-54,5
35,-54,3
5,-54,21
7,-9,1
1,-51,1
17,-59,13
13,-59,17
1,-4,1
9,-12,1
6,-18,1
3,-18,2
1,-52,1
22,-62,13
9,-60,25
27,-54,2
25,-60,9
13,-62,22
1,-53,1
37,-57,3
11,-55,5
13,-59,13
14,-28,1
7,-28,2
1,-54,1
43,-60,4
37,-64,8
8,-56,7
1,-55,1
23,-59,5
25,-61,7
3,-57,19
7,-61,25
5,-59,23
13,-20,1
17,-22,2
1,-56,1
18,-66,17
9,-60,13
29,-58,2
13,-60,9
17,-66,18
1,-57,1
7,-61,17
49,-65,5
17,-61,7
15,-30,1
23,-32,2
5,-30,3
19,-36,6
1,-58,1
4,-60,15
8,-64,23
55,-70,7
3,-60,20
12,-60,5
11,-62,11
24,-72,19
1,-59,1
17,-65,11
41,-63,3
11,-65,17
1,-60,1
19,-66,10
25,-64,5
31,-62,2
5,-64,25
10,-66,19
7,-21,1
1,-61,1
29,-69,9
7,-63,9
9,-69,29
1,-8,1
5,-10,2
4,-16,1
3,-18,7
16,-32,1
28,-36,3
21,-36,4
7,-34,7
1,-62,1
44,-76,11
49,-68,4
11,-76,44
43,-66,3
7,-68,28
53,-70,5
28,-68,7
1,-63,1
31,-73,11
13,-65,5
43,-83,17
1,-64,1
21,-72,13
6,-66,11
13,-72,21
22,-66,3
19,-68,7
33,-66,2
7,-68,19
15,-23,1
3,-23,5
5,-23,3
1,-65,1
27,-75,13
27,-69,5
61,-77,7
5,-69,27
13,-75,27
2,-5,1
8,-10,1
13,-18,1
17,-34,1
4,-36,13
1,-66,1
13,-72,16
17,-68,4
16,-72,13
1,-67,1
23,-69,3
57,-75,5
15,-75,19
1,-68,1
35,-70,2
47,-72,3
61,-78,6
14,-70,5
10,-70,7
17,-76,17
21,-84,29
1,-69,1
31,-75,7
13,-73,11
11,-73,13
7,-75,31
2,-12,1
5,-14,3
8,-24,1
3,-26,11
15,-28,4
11,-26,3
18,-36,1
11,-38,5
2,-36,9
5,-38,11
1,-70,1
5,-74,29
47,-80,8
29,-74,5
55,-76,4
11,-76,20
9,-72,8
20,-76,11
1,-71,1
21,-75,7
49,-75,3
7,-75,21
1,-72,1
37,-74,2
61,-80,5
67,-84,7
3,-15,1
1,-73,1
17,-83,23
51,-87,11
3,-75,25
11,-87,51
23,-83,17
11,-14,1
17,-26,1
4,-28,11
19,-38,1
9,-42,11
29,-40,2
11,-42,9
1,-74,1
17,-78,9
71,-88,8
9,-78,17
4,-76,19
36,-84,11
8,-80,29
